Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.226.1-192.168.226.135-56300-80-6,192.168.226.1,56300,192.168.226.135,80,6,10/05/2023 11:23:30 PM,75735,4,0,381.0,0.0,381.0,0.0,95.25,190.5,0,0,0,0,5030.699148346207,52.8157390902489,25245.0,43086.11993438258,74996.0,164.0,75735.0,25245.0,43086.11993438258,74996.0,164.0,0,0,0,0,0,0,0,0,0,92,0,52.8157390902489,0.0,0.0,381.0,76.2,170.38837988548397,29032.2,1,1,0,1,3,0,0,0,0.0,95.25,95.25,0.0,0,0,0,0,0,0,1,95,0,0,64240,0,1,20,0,0,0,0,1.683728610002601E15,0.0,1.683728610002601E15,1.683728610002601E15,NeedManualLabel
192.168.226.1-192.168.226.135-56303-80-6,192.168.226.1,56303,192.168.226.135,80,6,10/05/2023 11:23:30 PM,90471,4,0,393.0,0.0,393.0,0.0,98.25,196.5,0,0,0,0,4343.9334151275,44.21306274938931,30157.0,51657.783353527666,89806.0,177.0,90471.0,30157.0,51657.783353527666,89806.0,177.0,0,0,0,0,0,0,0,0,0,92,0,44.21306274938931,0.0,0.0,393.0,78.6,175.75494303148346,30889.8,1,1,0,1,3,0,0,0,0.0,98.25,98.25,0.0,0,0,0,0,0,0,1,98,0,0,64240,0,1,20,0,0,0,0,1.68372861000475E15,0.0,1.68372861000475E15,1.68372861000475E15,NeedManualLabel
192.168.226.1-192.168.226.135-56306-80-6,192.168.226.1,56306,192.168.226.135,80,6,10/05/2023 11:23:30 PM,94132,4,0,346.0,0.0,346.0,0.0,86.5,173.0,0,0,0,0,3675.6894573577533,42.49351973823992,31377.333333333336,53525.29757351502,93182.0,167.0,94132.0,31377.333333333336,53525.29757351502,93182.0,167.0,0,0,0,0,0,0,0,0,0,92,0,42.49351973823992,0.0,0.0,346.0,69.2,154.73590404298545,23943.2,1,1,0,1,3,0,0,0,0.0,86.5,86.5,0.0,0,0,0,0,0,0,1,86,0,0,64240,0,1,20,0,0,0,0,1.683728610006265E15,0.0,1.683728610006265E15,1.683728610006265E15,NeedManualLabel
192.168.226.1-192.168.226.135-56301-80-6,192.168.226.1,56301,192.168.226.135,80,6,10/05/2023 11:23:30 PM,104572,4,0,360.0,0.0,360.0,0.0,90.0,180.0,0,0,0,0,3442.604138775198,38.2511570975022,34857.33333333333,42928.048759911435,82928.0,347.0,104572.0,34857.33333333333,42928.048759911435,82928.0,347.0,0,0,0,0,0,0,0,0,0,92,0,38.2511570975022,0.0,0.0,360.0,72.0,160.99689437998487,25920.0,1,1,0,1,3,0,0,0,0.0,90.0,90.0,0.0,0,0,0,0,0,0,1,90,0,0,64240,0,1,20,0,0,0,0,1.683728610003073E15,0.0,1.683728610003073E15,1.683728610003073E15,NeedManualLabel
192.168.226.1-192.168.226.135-56304-80-6,192.168.226.1,56304,192.168.226.135,80,6,10/05/2023 11:23:30 PM,104086,4,0,354.0,0.0,354.0,0.0,88.5,177.0,0,0,0,0,3401.0337605441655,38.42976000614876,34695.33333333333,41976.63452842943,81701.0,951.0,104086.0,34695.33333333333,41976.63452842943,81701.0,951.0,0,0,0,0,0,0,0,0,0,92,0,38.42976000614876,0.0,0.0,354.0,70.8,158.3136128069851,25063.2,1,1,0,1,3,0,0,0,0.0,88.5,88.5,0.0,0,0,0,0,0,0,1,88,0,0,64240,0,1,20,0,0,0,0,1.683728610004622E15,0.0,1.683728610004622E15,1.683728610004622E15,NeedManualLabel
192.168.226.1-192.168.226.135-56302-80-6,192.168.226.1,56302,192.168.226.135,80,6,10/05/2023 11:23:30 PM,104974,4,0,346.0,0.0,346.0,0.0,86.5,173.0,0,0,0,0,3296.0542610551183,38.10467353820946,34991.33333333333,42321.49903220978,82069.0,100.0,104974.0,34991.33333333333,42321.49903220978,82069.0,100.0,0,0,0,0,0,0,0,0,0,92,0,38.10467353820946,0.0,0.0,346.0,69.2,154.73590404298545,23943.2,1,1,0,1,3,0,0,0,0.0,86.5,86.5,0.0,0,0,0,0,0,0,1,86,0,0,64240,0,1,20,0,0,0,0,1.683728610004117E15,0.0,1.683728610004117E15,1.683728610004117E15,NeedManualLabel
192.168.226.1-192.168.226.135-56305-80-6,192.168.226.1,56305,192.168.226.135,80,6,10/05/2023 11:23:30 PM,104141,4,0,381.0,0.0,381.0,0.0,95.25,190.5,0,0,0,0,3658.5014547584524,38.40946409195226,34713.66666666667,51506.55597429645,93937.0,372.0,104141.0,34713.66666666667,51506.55597429645,93937.0,372.0,0,0,0,0,0,0,0,0,0,92,0,38.40946409195226,0.0,0.0,381.0,76.2,170.38837988548397,29032.2,1,1,0,1,3,0,0,0,0.0,95.25,95.25,0.0,0,0,0,0,0,0,1,95,0,0,64240,0,1,20,0,0,0,0,1.683728610005369E15,0.0,1.683728610005369E15,1.683728610005369E15,NeedManualLabel
192.168.226.1-192.168.226.135-56297-80-6,192.168.226.1,56297,192.168.226.135,80,6,10/05/2023 11:23:29 PM,111667,4,0,346.0,0.0,346.0,0.0,86.5,173.0,0,0,0,0,3098.498213438169,35.82078859466091,37222.33333333333,35491.24338950854,71209.0,397.0,111667.0,37222.33333333333,35491.24338950854,71209.0,397.0,0,0,0,0,0,0,0,0,0,92,0,35.82078859466091,0.0,0.0,346.0,69.2,154.73590404298545,23943.2,1,1,0,1,3,0,0,0,0.0,86.5,86.5,0.0,0,0,0,0,0,0,1,86,0,0,64240,0,1,20,0,0,0,0,1.683728609999274E15,0.0,1.683728609999274E15,1.683728609999274E15,NeedManualLabel
192.168.226.1-192.168.226.135-56295-80-6,192.168.226.1,56295,192.168.226.135,80,6,10/05/2023 11:23:29 PM,116135,4,0,348.0,0.0,348.0,0.0,87.0,174.0,0,0,0,0,2996.5126792095407,34.44267447367288,38711.66666666667,56271.57899271473,103342.0,593.0,116135.0,38711.66666666667,56271.57899271473,103342.0,593.0,0,0,0,0,0,0,0,0,0,92,0,34.44267447367288,0.0,0.0,348.0,69.6,155.63033123398537,24220.8,1,1,0,1,3,0,0,0,0.0,87.0,87.0,0.0,0,0,0,0,0,0,1,87,0,0,64240,0,1,20,0,0,0,0,1.683728609995131E15,0.0,1.683728609995131E15,1.683728609995131E15,NeedManualLabel
192.168.226.1-192.168.226.135-56296-80-6,192.168.226.1,56296,192.168.226.135,80,6,10/05/2023 11:23:29 PM,113149,4,0,348.0,0.0,348.0,0.0,87.0,174.0,0,0,0,0,3075.5905929349797,35.351616010746895,37716.333333333336,57653.27415102575,104086.0,37.0,113149.0,37716.333333333336,57653.27415102575,104086.0,37.0,0,0,0,0,0,0,0,0,0,92,0,35.351616010746895,0.0,0.0,348.0,69.6,155.63033123398537,24220.8,1,1,0,1,3,0,0,0,0.0,87.0,87.0,0.0,0,0,0,0,0,0,1,87,0,0,64240,0,1,20,0,0,0,0,1.683728609998357E15,0.0,1.683728609998357E15,1.683728609998357E15,NeedManualLabel
